"name","avg_part"
"Wooden Box Set","-1.00000000000000000000"
"Mindstorms","0.00000000000000000000"
"Train","0.00000000000000000000"
"Samsonite","0.00000000000000000000"
"Key Chain","0.18181818181818181818"
"Technic","1.00000000000000000000"
"Imperial Guards","1.00000000000000000000"
"Supplemental","1.8000000000000000"
"Power Functions","1.8823529411764706"
"Control Lab","2.0000000000000000"
"Classic Town","2.4000000000000000"
"Star Wars","2.5000000000000000"
"Adventurers","3.0000000000000000"
"Planet Series 1","3.0000000000000000"
"Western","3.0000000000000000"
"Value Packs","3.1666666666666667"
"Minifig Pack","3.5000000000000000"
"Train","3.5753424657534247"
"Indiana Jones","4.0000000000000000"
"4 Juniors","4.0000000000000000"
"Dinosaurs","4.0000000000000000"
"Clikits","5.0000000000000000"
"Series 14 Minifigures","5.3684210526315789"
"The Hobbit","5.5000000000000000"
"DFB Minifigures","5.6470588235294118"
"Food & Drink","6.0000000000000000"
"Pirates","6.1666666666666667"
"Disney","6.2222222222222222"
"Series 15 Minifigures","6.3684210526315789"
"Castle","7.1458333333333333"
"Series 16 Minifigures","7.1764705882352941"
"Post Office","7.3333333333333333"
"Tohunga","8.0000000000000000"
"Food & Drink","8.5000000000000000"
"9V","8.5000000000000000"
"The Simpsons","8.7894736842105263"
"Belville","9.0833333333333333"
"Classic Basic","9.1666666666666667"
"Series 10 Minifigures","9.3500000000000000"
"Series 5 Minifigures","9.5789473684210526"
"The LEGO Movie Series","9.5789473684210526"
"Series 9 Minifigures","9.5789473684210526"
"Friends","9.5833333333333333"
"Series 1 Minifigures","9.7368421052631579"
"Series 3 Minifigures","9.7368421052631579"
"City","9.7546296296296296"
"Series 2 Minifigures","9.7894736842105263"
"Series 11 Minifigures","9.8421052631578947"
"Advent Sub-Set","9.8854166666666667"
"Series 4 Minifigures","10.0000000000000000"
"Series 6 Minifigures","10.1052631578947368"
"Series 13 Minifigures","10.1052631578947368"
"Series 12 Minifigures","10.2105263157894737"
"Series 7 Minifigures","10.2631578947368421"
"Series 8 Minifigures","10.2631578947368421"
"Team GB","11.0000000000000000"
"Jumbo Bricks","11.0000000000000000"
"Gear","11.1260162601626016"
"12V","11.2068965517241379"
"Creator","12.3888888888888889"
"Belville","12.5000000000000000"
"Scala","12.8461538461538462"
"Series 17 Minifigures","12.8888888888888889"
"Xalax","13.0625000000000000"
"Matoran of Light","13.1428571428571429"
"Star Wars","13.6082474226804124"
"Basic Model","13.7361111111111111"
"Train","14.0000000000000000"
"4.5V","14.2400000000000000"
"Technic","14.4571428571428571"
"Agori","14.8333333333333333"
"Supplemental","15.1666666666666667"
"RC Train","15.3333333333333333"
"Service Packs","16.5567567567567568"
"The Lord of the Rings","17.2500000000000000"
"Classic Town","18.0000000000000000"
"Matoran of Mata Nui","18.4615384615384615"
"Stars","18.8333333333333333"
"Supplemental","18.9666666666666667"
"Ben 10","19.0000000000000000"
"Supplemental","19.4666666666666667"
"Aquazone","20.0000000000000000"
"Collectible Minifigures","20.6875000000000000"
"Supplemental","20.8571428571428571"
"Bohrok","20.9230769230769231"
"Supplemental","21.0000000000000000"
"Matoran of Voya Nui","21.0000000000000000"
"Police","22.0000000000000000"
"Cars","22.4285714285714286"
"Town","22.7142857142857143"
"Turaga","23.6923076923076923"
"Belville","24.0000000000000000"
"Pirates","24.0000000000000000"
"HO 1:87 Vehicles","24.0000000000000000"
"Classic Basic","24.0000000000000000"
"Creator","24.0000000000000000"
"Castle","24.0000000000000000"
"Clikits","24.0000000000000000"
"Airport","24.3333333333333333"
"Matoran of Metru Nui","24.4285714285714286"
"Dinosaurs","24.5384615384615385"
"Bohrok Va","24.5454545454545455"
"Space","24.5833333333333333"
"Traffic","26.0000000000000000"
"Supplemental","26.0000000000000000"
"Vahki","26.7333333333333333"
"Supplemental","27.0000000000000000"
"Adventurers","27.0000000000000000"
"Rahaga","28.0000000000000000"
"Books","28.1052631578947368"
"Police","30.3333333333333333"
"Harbor","30.6666666666666667"
"Toa Metru","30.9090909090909091"
"Fabuland","30.9518072289156627"
"Toa Nuva","31.3750000000000000"
"Matoran of Mahri Nui","31.4000000000000000"
"Pirates","32.0000000000000000"
"Bohrok-Kal","32.5000000000000000"
"Castle","32.5000000000000000"
"Rahkshi","33.4400000000000000"
"Toa","34.0769230769230769"
"Airport","34.2500000000000000"
"Supplemental","35.0000000000000000"
"Gas Station","35.0000000000000000"
"Supplemental","35.6000000000000000"
"Star Wars Episode 1","35.7500000000000000"
"LEGO Exclusive","36.0000000000000000"
"Fire","36.4000000000000000"
"Piraka","36.4285714285714286"
"Castle","36.5000000000000000"
"Supplemental","36.5916666666666667"
"Toa Hagah","36.6666666666666667"
"Pirates","37.0909090909090909"
"Toa Hordika","37.5000000000000000"
"Airport","37.6923076923076923"
"Constraction","37.8571428571428571"
"Toa Inika","38.7500000000000000"
"Animals","39.0000000000000000"
"Pick A Model","39.2666666666666667"
"Monthly Mini Model Build","39.2876712328767123"
"Duplo","39.6164383561643836"
"X-Pod","40.6842105263157895"
"Series 4","41.4615384615384615"
"Construction","41.6666666666666667"
"Visorak","42.0000000000000000"
"Western ","42.5000000000000000"
"Traffic","43.6666666666666667"
"Technic","44.0957446808510638"
"Glatorian Legends","45.0000000000000000"
"Glatorian","46.2857142857142857"
"Phantoka","46.4285714285714286"
"NXT","46.6136363636363636"
"Mosaic","47.0000000000000000"
"Barraki","47.1428571428571429"
"Bionicle","47.1538461538461538"
"Creator","47.8000000000000000"
"Series 6","48.0000000000000000"
"4 Juniors","48.0000000000000000"
"Studios","48.7735849056603774"
"Clikits","49.1272727272727273"
"Fire","49.2500000000000000"
"Mistika","49.4285714285714286"
"Police","49.6000000000000000"
"Star Wars Episode 4/5/6","50.6000000000000000"
"Soft Bricks","51.8000000000000000"
"RoboRiders","52.1724137931034483"
"Holiday","52.2500000000000000"
"Off-Road","52.7777777777777778"
"Building","53.0000000000000000"
"Basketball","53.0882352941176471"
"Toa Mahri","53.5714285714285714"
"Heroes","54.0909090909090909"
"Airport","54.9523809523809524"
"Throwbot Slizer","55.0588235294117647"
"Planet Series 2","55.7500000000000000"
"Sports","55.7500000000000000"
"Universe","56.0000000000000000"
"Space","56.3333333333333333"
"Bulk Bricks","56.5120000000000000"
"Star Wars Episode 3","58.0000000000000000"
"Series 1","58.2222222222222222"
"Mini","58.3137254901960784"
"Series 5","58.3333333333333333"
"Star Wars Clone Wars","58.8333333333333333"
"Traffic","59.0000000000000000"
"Service Packs","59.4385964912280702"
"Planet Series 4","60.5000000000000000"
"Series 2","61.2222222222222222"
"Series 7","62.8888888888888889"
"Mini","63.0000000000000000"
"Series 9","63.8888888888888889"
"Hero Factory","64.1111111111111111"
"Series 3","64.4444444444444444"
"Gravity Games","64.8181818181818182"
"Creature","65.2857142857142857"
"Series 8","65.3333333333333333"
"Farm","65.5000000000000000"
"Constraction","65.6923076923076923"
"Fairy-Tale","67.3720930232558140"
"WeDo","67.4166666666666667"
"City","67.6666666666666667"
"Construction","68.5000000000000000"
"Supplemental","68.5384615384615385"
"Construction","68.6250000000000000"
"Soccer","68.7352941176470588"
"Post Office","68.8571428571428571"
"Technic","69.4000000000000000"
"Easter","69.4583333333333333"
"Protectors","69.5000000000000000"
"Vehicle","69.7500000000000000"
"Race","70.6111111111111111"
"Airport","70.6666666666666667"
"Airport","72.2500000000000000"
"Construction","72.9333333333333333"
"Gas Station","73.0000000000000000"
"Hockey","74.0588235294117647"
"UFO","75.0526315789473684"
"Construction","75.2857142857142857"
